PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FG%,3P%,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,+/-,SEASON,NUM_YRS,TARGET_4UP
Cedric Simmons,NOK,21,43,19,24,533.9,126,41.7,0.0,48.5,44,63,107,12,22,8,23,75,0,0,-99,2006-07,3,0
Quincy Douby,SAC,23,42,16,26,359.1,119,38.1,24.0,73.3,11,26,37,15,15,15,4,21,0,0,-38,2006-07,3,0
Bobby Jones,PHI,23,44,15,29,335.5,110,46.2,11.1,56.1,22,35,57,16,18,11,1,59,0,0,36,2006-07,2,0
Dee Brown,UTA,22,49,29,20,449.5,94,32.7,21.4,64.9,8,32,40,83,31,22,7,51,0,0,18,2006-07,8,1
Andre Brown,SEA,26,38,16,22,270.9,93,56.8,0.0,60.0,26,48,74,2,29,6,4,26,0,0,-12,2006-07,3,0
Vassilis Spanoulis,HOU,24,31,21,10,271.9,85,31.9,17.2,81.0,5,17,22,28,29,7,1,33,0,0,-30,2006-07,1,0
J.J. Barea,DAL,23,33,26,7,191.3,78,35.9,28.6,66.7,7,18,25,24,14,1,1,19,1,0,-36,2006-07,14,1
Shannon Brown,CLE,21,23,16,7,201.5,73,37.8,28.0,71.4,6,15,21,10,14,7,3,24,0,0,-60,2006-07,9,1
Maurice Ager,DAL,23,32,26,6,214.4,69,31.4,33.3,60.6,1,20,21,7,15,4,3,27,0,0,-69,2006-07,4,0
Ryan Hollins,CHA,22,27,8,19,185.3,64,55.6,0.0,60.0,11,20,31,1,16,4,7,40,0,0,-92,2006-07,10,1
Kyle Lowry,MEM,21,10,2,8,175.4,56,36.8,37.5,89.3,12,19,31,32,12,14,1,20,0,0,60,2006-07,16,1
Mouhamed Sene,SEA,21,28,5,23,169.5,53,36.7,0.0,58.6,16,29,45,0,11,3,12,33,0,0,-49,2006-07,3,0
Damir Markota,MIL,21,30,7,23,170.4,51,36.5,37.5,63.6,11,20,31,6,15,3,1,22,0,0,-45,2006-07,1,0
Paul Davis,LAC,22,31,14,17,179.8,51,42.3,0.0,70.0,21,23,44,7,8,6,5,28,0,0,-15,2006-07,4,0
Robert Hite,MIA,23,12,1,11,135.7,51,31.7,21.7,66.7,4,12,16,8,6,3,2,8,0,0,-14,2006-07,1,0
Steve Novak,HOU,24,35,20,15,190.6,51,36.0,33.3,100.0,4,22,26,6,4,5,0,21,0,0,-31,2006-07,11,1
James White,SAS,24,6,4,2,136.6,50,43.9,28.6,80.0,3,17,20,5,5,3,1,7,0,0,-22,2006-07,3,0
Uros Slokar,TOR,24,20,9,11,72.0,38,53.8,50.0,69.2,7,7,14,1,9,1,2,11,0,0,-36,2006-07,1,0
Kevinn Pinkney,BOS,23,6,0,6,100.0,31,44.4,50.0,66.7,7,8,15,5,4,3,3,12,0,0,5,2006-07,1,0
Patrick O'Bryant,GSW,21,16,4,12,118.8,31,31.3,0.0,64.7,7,14,21,9,8,6,8,26,0,0,18,2006-07,4,0
P.J. Tucker,TOR,22,17,5,12,83.4,30,50.0,0.0,57.1,11,12,23,3,6,2,0,12,0,0,-32,2006-07,11,1
Pops Mensah-Bonsu,DAL,23,12,9,3,71.3,29,64.7,0.0,38.9,9,12,21,0,9,1,0,8,0,0,6,2006-07,4,0
Cedric Bozeman,ATL,24,23,9,14,199.0,26,28.2,15.4,33.3,3,20,23,9,9,5,2,32,0,0,-26,2006-07,1,0
Will Blalock,DET,23,14,8,6,165.7,25,30.0,20.0,100.0,6,9,15,17,12,5,0,9,0,0,-20,2006-07,1,0
Marcus Vinicius,NOK,23,13,4,9,103.4,22,46.7,42.9,71.4,2,9,11,5,6,2,1,10,0,0,-33,2006-07,2,0
Andreas Glyniadakis,SEA,25,13,3,10,80.6,17,47.1,0.0,50.0,2,6,8,1,9,0,0,19,0,0,-27,2006-07,1,0
Lou Amundson,PHI,24,11,6,5,88.9,16,40.0,0.0,40.0,13,15,28,1,5,1,8,15,0,0,-23,2006-07,10,1
Ivan McFarlin,PHI,25,11,0,11,41.3,15,38.5,0.0,71.4,7,4,11,1,1,0,0,8,0,0,-9,2006-07,1,0
Desmon Farmer,SEA,25,8,2,6,31.8,13,33.3,25.0,100.0,0,1,1,9,1,1,0,2,0,0,16,2006-07,2,0
James Lang,WAS,23,11,7,4,54.6,11,44.4,0.0,60.0,5,6,11,2,2,0,3,14,0,0,0,2006-07,1,0
Jeremy Richardson,POR,23,6,4,2,19.9,8,50.0,66.7,0.0,1,1,2,0,1,1,0,2,0,0,-1,2006-07,3,0
